date,open,high,low,close,adj close,volume,symbol
20190117,38.549999,39.415001,38.314999,38.965,37.550739,119284800,1
20190117,23.080667,23.433332,22.943333,23.153999,23.153999,55150500,4
20190117,102.110001,103.5,101.919998,102.919998,90.429504,14247600,3
20190118,158.449997,159.490005,154.729996,157.020004,157.020004,19611400,2
20190118,39.375,39.470001,38.994999,39.205002,37.782032,135004000,1
20190118,21.533333,21.808666,19.982,20.150667,20.150667,362262000,4
20190118,103.769997,104.900002,102.830002,104.589996,91.896828,16428700,3
20190122,154.399994,155.440002,150.207001,152.149994,152.149994,21295000,2
20190122,39.102501,39.182499,38.154999,38.325001,36.933964,121576000,1
20190122,20.321333,20.533333,19.700001,19.927999,19.927999,181000500,4
20190122,103.080002,103.589996,102.129997,102.940002,90.447075,17083700,3
20190123,154.649994,155.179993,150.949997,152.029999,152.029999,10195800,2
20190123,38.537498,38.785,37.924999,38.48,37.083336,92522400,1
20190123,19.5,19.633333,18.779333,19.172667,19.172667,187950000,4
20190123,103.440002,103.699997,101.970001,102.68,90.21862,12146700,3
20190124,151.470001,156,151.210007,155.860001,155.860001,10997900,2
20190124,38.5275,38.619999,37.935001,38.174999,36.789413,101766000,1
20190124,18.868668,19.578667,18.618668,19.434,19.434,120183000,4
20190124,102.129997,103.089996,101.940002,102.739998,90.271347,11296800,3
20190125,158.910004,160.5,157.429993,159.210007,159.210007,16451800,2
20190125,38.869999,39.532501,38.580002,39.439999,38.008495,134142000,1
20190125,19.625999,19.901333,19.303333,19.802668,19.802668,108744000,4
20190125,103.510002,104.309998,102.739998,103.389999,90.842445,14369400,3
20190128,157.800003,159.690002,155.300003,158.919998,158.919998,10141100,2
20190128,38.947498,39.0825,38.415001,39.075001,37.65675,104768400,1
20190128,19.527332,19.830667,19.183332,19.758667,19.758667,96349500,4
20190128,102.889999,104.239998,102.589996,103.879997,91.272995,12283100,3
20190129,159.039993,160.375,155.919998,156.880005,156.880005,18348200,2
20190129,39.0625,39.532501,38.5275,38.669998,37.266445,166348800,1
